cup,result,group,date,matchnum,away,home,home_res,away_res,home_win,away_win,match,home_victories,away_victories,home_loss,away_loss,home_losses,away_losses,home_goals,away_goals,home_goals_against,away_goals_against
1974 FIFA World Cup Germany ™,1-2,Group A,30 Jun 1974,Match 30,Brazil,Argentina,1,2,0,1,30,1,2,1,0,2,0,7,4,7,0
1974 FIFA World Cup Germany ™,2-1,Group B,30 Jun 1974,Match 32,Yugoslavia,Poland,2,1,1,0,32,4,1,0,1,0,1,13,10,5,1
1974 FIFA World Cup Germany ™,0-2,Group A,30 Jun 1974,Match 29,Netherlands,German DR,0,2,0,1,29,2,3,1,0,1,0,4,10,1,4
1974 FIFA World Cup Germany ™,4-2,Group B,30 Jun 1974,Match 31,Sweden,Germany FR,4,2,1,0,31,3,1,0,1,1,1,6,3,0,0
1974 FIFA World Cup Germany ™,0-1,Group B,03 Jul 1974,Match 35,Germany FR,Poland,0,1,0,1,35,5,4,1,0,0,1,15,10,7,4
1950 FIFA World Cup Brazil ™,1-0,Group 2,29 Jun 1950,Match 10,England,USA,1,0,1,0,10,0,1,0,1,1,0,1,2,1,0
1950 FIFA World Cup Brazil ™,2-0,Group 1,01 Jul 1950,Match 11,Yugoslavia,Brazil,2,0,1,0,11,1,2,0,1,0,0,6,7,2,4
1950 FIFA World Cup Brazil ™,1-0,Group 2,02 Jul 1950,Match 12,England,Spain,1,0,1,0,12,2,1,0,1,0,1,5,2,3,0
1950 FIFA World Cup Brazil ™,2-0,Group 3,02 Jul 1950,Match 13,Paraguay,Italy,2,0,1,0,13,0,0,0,1,1,0,2,2,2,2
1950 FIFA World Cup Brazil ™,8-0,Group 4,02 Jul 1950,Match 16,Bolivia,Uruguay,8,0,1,0,16,0,0,0,1,0,0,0,0,0,0
1934 FIFA World Cup Italy ™,7-1,Preliminary round,27 May 1934,Match 7,USA,Italy,7,1,1,0,7,0,0,0,1,0,0,0,0,0,0
1934 FIFA World Cup Italy ™,2-1,Preliminary round,27 May 1934,Match 8,Romania,Czechoslovakia,2,1,1,0,8,0,0,0,1,0,0,0,0,0,0
1934 FIFA World Cup Italy ™,3-2,Quarter-finals,31 May 1934,Match 9,Switzerland,Czechoslovakia,3,2,1,0,9,1,1,0,1,0,0,2,3,2,3
1934 FIFA World Cup Italy ™,2-1,Quarter-finals,31 May 1934,Match 10,Sweden,Germany,2,1,1,0,10,1,1,0,1,0,0,5,3,5,3
1930 FIFA World Cup Uruguay ™,3-0,Group 1,16 Jul 1930,Match 6,Mexico,Chile,3,0,1,0,6,0,0,0,1,0,1,0,1,0,1
1930 FIFA World Cup Uruguay ™,4-0,Group 2,17 Jul 1930,Match 7,Bolivia,Yugoslavia,4,0,1,0,7,1,0,0,1,0,0,2,0,2,0
1930 FIFA World Cup Uruguay ™,3-0,Group 4,17 Jul 1930,Match 8,Paraguay,USA,3,0,1,0,8,1,0,0,1,0,0,3,0,0,0
